trans_date_trans_time,cc_num,merchant,category,amt,trans_num,unix_time,merch_lat,merch_long,is_fraud
2007-01-01 00:00:04,375237341517733,55,2,89.09,fdfdbbc3a638f321dcb47c038709a5f3,1167638404,26.523244,-79.65968,0
2007-01-01 00:00:33,4480396522393,381,2,38.67,9887169daeac1335091dd554ccf875cc,1167638433,26.697086,-81.517233,0
2007-01-01 00:00:39,2720458870715534,47,2,203.24,0343e7e011672e3499f86bb2a2940740,1167638439,46.501115,-113.423398,0
2007-01-01 00:01:34,3531243292127790,625,2,54.61,1589df7900740efbc6d221bec1cd3215,1167638494,46.390045,-122.120905,0
2007-01-01 00:02:05,676340850954,497,2,23.74,66cc99a16a27fb4bb3090cad52e7da97,1167638525,44.59205,-122.635327,0
2007-01-01 00:02:22,4244626325144889,549,2,59.27,2b2986638406db89ff4a9ba4ada61cab,1167638542,39.895665,-75.13119,0
2007-01-01 00:03:01,213122012560830,55,2,8.32,1df0dd7d0b7be0501847847aa8c3e6db,1167638581,39.419278,-75.142218,0
2007-01-01 00:03:08,3589119083342809,77,2,66.88,2bf2447b12bc6a1580579f3e90331b18,1167638588,32.947162,-97.173838,0
2007-01-01 00:03:12,4361337605230458,272,2,12.08,e18cf32c9a975b707e25f1893dd44055,1167638592,47.777112,-122.619395,0
2007-01-01 00:03:25,3585991449207494,607,2,1.36,b84e17664b8503b20aeed9010a99fc03,1167638605,39.753522,-74.429366,0
2007-01-01 00:05:54,6011898331465915,272,2,202.97,ccc4bc09e3b3e566f5102af919a04fcc,1167638754,34.060267,-83.717443,0
2007-01-01 00:06:19,345331586923222,332,2,24.7,551ebce7704fb6b503f0f6fe39a5889a,1167638779,41.928272,-78.565057,0
2007-01-01 00:06:27,2615899886834520,321,2,54.79,7686b65d5ad15d36439c6e53f9dd906c,1167638787,40.141547,-84.315607,0
2007-01-01 00:07:09,4436877156922095,231,2,44.39,8ef70bbad267b3a58b6bf8eafe527b5d,1167638829,33.019515,-93.450396,0
2007-01-01 00:07:15,213114138113867,474,2,6.6,912a2068961de51bd2a58870d6398ae4,1167638835,31.259604,-97.616146,0
2007-01-01 00:07:38,2329108739221985,243,2,2.16,7f9631c3b4e14f405fa12d1ad77f00c9,1167638858,39.43115,-77.507749,0
2007-01-01 00:07:53,2663239791378761,43,2,114.56,2d36ed66abea0bd5eeb96ec1e0ad72ae,1167638873,38.872813,-106.997377,0
2007-01-01 00:10:22,376205554384041,559,2,51.51,e14aa2d64816895770d317dec2720ee4,1167639022,36.71744,-81.30038,0
2007-01-01 00:11:33,4351751830467,153,2,206.73,b6c568e58fdad25d20f80d3e628f2363,1167639093,41.460614,-86.167554,0
2007-01-01 00:11:48,4896331812335761701,474,2,2.33,a2a9c9ea59bf0b8a0814a2991fc98efb,1167639108,35.433046,-78.774825,0
2007-01-01 00:11:50,6598044509286053,407,2,49.18,339dd99110e89e0198ec0f9c1eed7151,1167639110,35.920334,-96.744066,0
2007-01-01 00:12:28,4115630295596363,474,2,62.42,6cc5639404f28a3229ac4f64aee591fc,1167639148,41.189223,-78.500606,0
2007-01-01 00:12:36,4120800564099513,474,2,54.61,1589df7900740efbc6d221bec1cd3215,1167639156,28.858145,-81.713305,0
2007-01-01 00:14:01,38512395978158,181,2,1.27,d029b5e0e7dbe19b4c5bebd537de6e1b,1167639241,40.390773,-74.565232,0
2007-01-01 00:14:43,6595790012482554,407,2,58.51,9144229fb2a4e4937d5fc74ab36578b6,1167639283,34.495777,-117.897608,0
2007-01-01 00:15:26,377303064421210,243,2,115.12,d48f4ec715793cf9cf58a7b8ba059395,1167639326,44.578705,-67.733837,0
2007-01-01 00:15:49,4255618444218294,77,2,92.43,b662aef77d7483f14d61f327e0039749,1167639349,34.110739,-86.663255,0
2007-01-01 00:16:32,3547726903265514,181,2,50.25,7a7180c0b71247f37324fec856fdd65b,1167639392,35.385784,-89.473112,0
2007-01-01 00:16:41,6568740420767511,24,2,2.46,86c88d1a5a77a6dbbe2af0f7fe0efd12,1167639401,37.676706,-76.848601,0
2007-01-01 00:16:56,2242033016234192,474,2,208.29,0e74b9fccd98994356fbde2fc274ac77,1167639416,38.775761,-120.708388,0
2007-01-01 00:17:26,3559608931992555,229,2,2.01,f55e44f92c12ea131a1e116f2507a2f1,1167639446,43.858945,-89.085208,0
2007-01-01 00:17:38,2615899886834520,24,2,37.92,a6fe9ef1aba87125bbc8c02e9b6a6616,1167639458,40.781549,-84.936848,0
2007-01-01 00:18:28,213171752421497,153,2,75.18,380b93883368d99cf271991d1de6643b,1167639508,42.963507,-70.734328,0
2007-01-01 00:19:09,348981061735637,183,2,195.48,38e8c5a557f3d0745cc16cdf5b31546f,1167639549,40.09639,-75.675656,0
2007-01-01 00:19:10,2706999386774968,157,2,59.86,03bc2f4b32f227995c07cb861dcde55f,1167639550,40.054223,-112.522213,0
2007-01-01 00:19:10,180027036924921,549,2,3.2,2a731b4d744cbea55b2ff7dff8ae4f3b,1167639550,39.066334,-86.948902,0
2007-01-01 00:19:28,4298338167423364,508,2,322.97,f26debe49a98e79f4cf3867ee8e32a96,1167639568,42.964268,-83.170003,0
2007-01-01 00:20:01,5415950342811399,605,2,4.87,e28916d4b6a92baf88c79de9769fd28e,1167639601,37.846397,-76.479153,0
2007-01-01 00:20:57,213134400952248,559,2,3.2,2a731b4d744cbea55b2ff7dff8ae4f3b,1167639657,39.803234,-74.827502,0
2007-01-01 00:24:11,38512395978158,103,2,35.84,b2b6ad35f3d50ecb11d664d574efddb8,1167639851,40.492802,-74.988213,0
2007-01-01 00:24:37,2329108739221985,497,2,81.72,c3af441f2d2e82f0654de8ce263c21ff,1167639877,38.523031,-77.721374,0
2007-01-01 00:25:17,4640858588382563,157,2,46.78,20f9b6e065e2c50606bdb8f1673a1d71,1167639917,31.401275,-106.541262,0
2007-01-01 00:26:38,4395613723081720,92,2,76.99,a0cf1ebd4efbddb3073fb7253c507de0,1167639998,41.754829,-71.733053,0
2007-01-01 00:26:54,567236831473,117,2,37.93,c9eace5a89549cf598749db82fb31c18,1167640014,41.571061,-82.845804,0
2007-01-01 00:27:00,2486880023009156,181,2,73.41,2ca6f585d919d67a1a02bb985c942865,1167640020,32.956463,-111.469031,0
2007-01-01 00:28:05,30066149828241,497,2,79.18,526f33c5c47318dd4614a6eb6229f460,1167640085,40.678472,-81.246175,0
2007-01-01 00:28:11,3517536264752869,231,2,86.32,6ad309f27503353fa5362cb1a430f3bd,1167640091,39.520626,-75.223543,0
2007-01-01 00:29:35,3593957875207027,444,2,89.86,4aec2bbb68553a38b8e393193e26dcba,1167640175,40.610775,-73.023316,0
2007-01-01 00:29:51,4608271721736,99,2,40.54,792e4bd6f6c8604859e2ecc41fcd9899,1167640191,33.440607,-119.217062,0
